"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
gad7_3,outcomes_secundarios,,radio,"Preocupar-se demasiado com diversas coisas","0_Nenhuma_vez, 0_Nenhuma_vez | 1_Varios_dias, 1_Varios_dias | 2_Mais_de_metade_dos_dias, 2_Mais_de_metade_dos_dias | 3_Quase_todos_os_dias, 3_Quase_todos_os_dias",,,,,,,y,,,gad_matrix,,
gad7_4,outcomes_secundarios,,radio,"Dificuldade em relaxar","0_Nenhuma_vez, 0_Nenhuma_vez | 1_Varios_dias, 1_Varios_dias | 2_Mais_de_metade_dos_dias, 2_Mais_de_metade_dos_dias | 3_Quase_todos_os_dias, 3_Quase_todos_os_dias",,,,,,,y,,,gad_matrix,,
gad7_5,outcomes_secundarios,,radio,"Sentir-se tão irrequieto(a) que é difícil estar parado(a)","0_Nenhuma_vez, 0_Nenhuma_vez | 1_Varios_dias, 1_Varios_dias | 2_Mais_de_metade_dos_dias, 2_Mais_de_metade_dos_dias | 3_Quase_todos_os_dias, 3_Quase_todos_os_dias",,,,,,,y,,,gad_matrix,,
gad7_6,outcomes_secundarios,,radio,"Ficar facilmente irritável ou aborrecido(a)","0_Nenhuma_vez, 0_Nenhuma_vez | 1_Varios_dias, 1_Varios_dias | 2_Mais_de_metade_dos_dias, 2_Mais_de_metade_dos_dias | 3_Quase_todos_os_dias, 3_Quase_todos_os_dias",,,,,,,y,,,gad_matrix,,
gad7_7,outcomes_secundarios,,radio,"Sentir medo como se algo terrível pudesse acontecer","0_Nenhuma_vez, 0_Nenhuma_vez | 1_Varios_dias, 1_Varios_dias | 2_Mais_de_metade_dos_dias, 2_Mais_de_metade_dos_dias | 3_Quase_todos_os_dias, 3_Quase_todos_os_dias",,,,,,,y,,,gad_matrix,,
gad7_total,outcomes_secundarios,,calc,"Score Total GAD7","[gad7_1] + [gad7_2] + [gad7_3] + [gad7_4] + [gad7_5] + [gad7_6] + [gad7_7]",,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
psqi_total,outcomes_secundarios,,text,"Pontuação Global da Qualidade do Sono (PSQI)","0_Nenhuma_vez
1_Varios_dias
2_Mais_de_metade_dos_dias
3_Quase_todos_os_dias","Score 0-21",integer,0,21,,,y,,,,,
who5_1,outcomes_secundarios,,radio,"Tenho-me sentido alegre e bem-disposto(a)","0_Nenhuma_vez, 0_Nenhuma_vez | 1_Varios_dias, 1_Varios_dias | 2_Mais_de_metade_dos_dias, 2_Mais_de_metade_dos_dias | 3_Quase_todos_os_dias, 3_Quase_todos_os_dias",,,,,,,y,,,who_matrix,,
who5_2,outcomes_secundarios,,radio,"Tenho-me sentido calmo(a) e relaxado(a)","0_Nenhuma_vez, 0_Nenhuma_vez | 1_Varios_dias, 1_Varios_dias | 2_Mais_de_metade_dos_dias, 2_Mais_de_metade_dos_dias | 3_Quase_todos_os_dias, 3_Quase_todos_os_dias",,,,,,,y,,,who_matrix,,
who5_3,outcomes_secundarios,,radio,"Tenho-me sentido ativo(a) e vigoroso(a)","0_Nenhuma_vez, 0_Nenhuma_vez | 1_Varios_dias, 1_Varios_dias | 2_Mais_de_metade_dos_dias, 2_Mais_de_metade_dos_dias | 3_Quase_todos_os_dias, 3_Quase_todos_os_dias",,,,,,,y,,,who_matrix,,
who5_4,outcomes_secundarios,,radio,"Acordei sentindo-me fresco(a) e descansado(a)","0_Nenhuma_vez, 0_Nenhuma_vez | 1_Varios_dias, 1_Varios_dias | 2_Mais_de_metade_dos_dias, 2_Mais_de_metade_dos_dias | 3_Quase_todos_os_dias, 3_Quase_todos_os_dias",,,,,,,y,,,who_matrix,,
who5_5,outcomes_secundarios,,radio,"A minha vida diária tem estado cheia de coisas que me interessam","0_Nenhuma_vez, 0_Nenhuma_vez | 1_Varios_dias, 1_Varios_dias | 2_Mais_de_metade_dos_dias, 2_Mais_de_metade_dos_dias | 3_Quase_todos_os_dias, 3_Quase_todos_os_dias",,,,,,,y,,,who_matrix,,
who5_total,outcomes_secundarios,,calc,"Score Total WHO5","([who5_1] + [who5_2] + [who5_3] + [who5_4] + [who5_5]) * 4",,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
who5_categoria,outcomes_secundarios,,text,Bem-Estar:,,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY @CALCTEXT(if([who5_total] < 50, 'Baixo Bem-Estar', 'Bem-Estar Adequado'))"
af_min_mod,outcomes_secundarios,,text,"Minutos de atividade física moderada por semana",,min/semana,integer,0,10080,,,y,,,,,
af_min_vig,outcomes_secundarios,,text,"Minutos de atividade física vigorosa por semana",,min/semana,integer,0,10080,,,y,,,,,
eng_mood_freq,usabilidade_e_adesao_da_app,"Uso da App e Usabilidade",text,"Média de registos de humor semanais",,"logs app",number,0,7,,,y,,,,,
eng_modulos_comp,usabilidade_e_adesao_da_app,,text,"Percentagem de conclusão dos módulos dCBT",,%,number,0,100,,,y,,,,,
sus_q1,usabilidade_e_adesao_da_app,,radio,"Acho que gostaria de utilizar esta aplicação frequentemente","1, Discordo Totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo Totalmente",,,,,,,y,,,sus_matrix,,
sus_q2,usabilidade_e_adesao_da_app,,radio,"Acho a aplicação desnecessariamente complexa","1, Discordo Totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo Totalmente",,,,,,,y,,,sus_matrix,,
sus_q3,usabilidade_e_adesao_da_app,,radio,"Acho que a aplicação fácil de utilizar","1, Discordo Totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo Totalmente",,,,,,,y,,,sus_matrix,,
sus_q4,usabilidade_e_adesao_da_app,,radio,"Acho que precisaria de ajuda de um técnico para conseguir utilizar esta aplicação","1, Discordo Totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo Totalmente",,,,,,,y,,,sus_matrix,,
sus_q5,usabilidade_e_adesao_da_app,,radio,"Acho que as várias funcionalidades desta aplicação estão bem integradas","1, Discordo Totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo Totalmente",,,,,,,y,,,sus_matrix,,
sus_q6,usabilidade_e_adesao_da_app,,radio,"Acho que a aplicação apresenta demasiadas inconsistências","1, Discordo Totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo Totalmente",,,,,,,y,,,sus_matrix,,
sus_q7,usabilidade_e_adesao_da_app,,radio,"Imagino que a maioria das pessoas aprenderia a utilizar esta aplicação muito rapidamente","1, Discordo Totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo Totalmente",,,,,,,y,,,sus_matrix,,
sus_q8,usabilidade_e_adesao_da_app,,radio,"Acho a aplicação muito pesada/difícil de utilizar","1, Discordo Totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo Totalmente",,,,,,,y,,,sus_matrix,,
sus_q9,usabilidade_e_adesao_da_app,,radio,"Sinto-me muito confiante a utilizar a aplicação","1, Discordo Totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo Totalmente",,,,,,,y,,,sus_matrix,,
sus_q10,usabilidade_e_adesao_da_app,,radio,"Tive de aprender muito antes de conseguir lidar com esta aplicação","1, Discordo Totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo Totalmente",,,,,,,y,,,sus_matrix,,
score_sus,usabilidade_e_adesao_da_app,,calc,"Score Total SUS","(([sus_q1]-1) + (5-[sus_q2]) + ([sus_q3]-1) + (5-[sus_q4]) + ([sus_q5]-1) + (5-[sus_q6]) + ([sus_q7]-1) + (5-[sus_q8]) + ([sus_q9]-1) + (5-[sus_q10])) * 2.5",,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
sus_acessibilidade,usabilidade_e_adesao_da_app,,text,"Aceitabilidade da App:",,,,,,,,,,,,," @HIDDEN-SURVEY @CALCTEXT(if([score_sus] = '', '', if([score_sus] > 68, 'Boa Aceitabilidade', 'Abaixo do Limiar de Aceitabilidade')))"
